acc_mean_g,acc_std_g,acc_peak_g,acc_min_g,jerk_peak,jerk_mean,gyro_peak_dps,gyro_std_dps,ax_std,ay_std,az_std,gx_std,gy_std,gz_std,label,trigger
1.172,0.701,5.443,0.387,130.2,7.57,1141.2,129.2,0.471,0.002,0.813,0.0,136.6,0.0,stomp,0
1.412,0.348,2.044,0.887,20.91,9.87,151.7,46.2,0.35,0.002,1.111,0.0,105.9,0.0,shake_leg,0
2.571,3.156,16.082,1.009,430.5,29.41,1652.2,292.3,1.556,0.002,3.428,0.0,316.9,0.0,soft_kick,0
1.35,1.562,8.689,0.025,236.52,19.74,354.6,73.6,0.627,0.002,1.727,0.0,85.1,0.0,jumping,0
1.89,0.62,2.91,0.866,44.39,24.32,200.1,60.9,0.56,0.002,1.727,0.0,139.8,0.0,shake_leg,0
2.574,3.218,15.596,0.98,558.03,30.0,1213.2,239.6,1.552,0.002,3.497,0.0,262.1,0.0,soft_kick,0
2.902,0.639,3.697,0.818,53.75,11.95,443.1,138.1,1.018,0.002,2.051,0.0,306.8,0.0,walking,0
1.196,0.698,5.524,0.379,133.18,7.42,1230.5,140.4,0.469,0.002,0.808,0.0,147.8,0.0,stomp,0
1.227,0.686,5.151,0.42,110.62,7.44,787.1,99.5,0.472,0.002,0.809,0.0,107.0,0.0,stomp,0
12.059,3.594,16.147,3.576,239.77,99.43,1324.5,401.0,5.227,0.002,7.6,0.0,943.5,0.0,running,0
10.63,6.222,22.627,1.018,613.93,142.84,2000.0,577.8,5.819,0.002,8.643,0.0,872.4,0.0,repeated_kick,1
1.363,1.576,9.181,0.031,251.68,19.38,350.0,72.9,0.602,0.002,1.755,0.0,84.6,0.0,jumping,0
1.37,1.513,8.57,0.02,233.81,19.54,359.9,73.1,0.579,0.002,1.701,0.0,85.0,0.0,jumping,0
2.557,3.16,16.076,0.994,445.46,29.2,1651.8,294.1,1.558,0.002,3.426,0.0,318.6,0.0,soft_kick,0
3.487,5.233,22.627,0.983,606.25,41.52,2000.0,378.9,3.637,0.002,4.556,0.0,405.4,0.0,hard_kick,0
3.447,5.163,22.627,0.989,511.09,34.04,2000.0,426.0,3.762,0.002,4.325,0.0,460.5,0.0,hard_kick,0
3.482,5.228,22.627,0.998,571.5,40.56,2000.0,402.1,3.692,0.002,4.499,0.0,434.9,0.0,hard_kick,0
3.449,5.15,22.627,0.995,540.26,33.77,2000.0,424.4,3.763,0.002,4.302,0.0,458.0,0.0,hard_kick,0
1.002,0.002,1.006,0.995,0.34,0.11,2.0,0.3,0.002,0.002,0.004,0.0,0.7,0.0,sitting,0
11.891,3.836,16.184,1.687,251.42,97.73,1347.3,408.6,5.354,0.002,7.671,0.0,949.9,0.0,running,0
12.672,3.838,16.395,1.952,293.73,97.03,1387.4,424.5,5.448,0.002,8.058,0.0,969.5,0.0,running,0
0.992,0.002,0.996,0.986,0.45,0.12,2.9,0.7,0.002,0.002,0.008,0.0,1.4,0.0,sitting,0
3.276,0.698,4.061,1.152,68.71,14.71,472.3,143.8,1.171,0.002,2.406,0.0,327.4,0.0,walking,0
2.52,0.476,3.239,1.131,42.08,9.44,401.8,122.3,0.864,0.002,1.654,0.0,289.6,0.0,walking,0
3.485,5.25,22.627,0.989,603.3,41.27,2000.0,394.1,3.68,0.002,4.538,0.0,425.2,0.0,hard_kick,0
1.389,1.628,9.809,0.006,257.61,20.59,359.6,72.4,0.619,0.002,1.803,0.0,84.8,0.0,jumping,0
0.973,0.002,0.979,0.968,0.36,0.12,4.2,1.0,0.002,0.002,0.008,0.0,1.4,0.0,sitting,0
1.342,1.578,9.214,0.029,212.41,20.44,362.4,72.4,0.644,0.002,1.733,0.0,84.8,0.0,jumping,0
1.205,0.693,5.538,0.387,132.85,7.23,1269.9,147.2,0.468,0.002,0.8,0.0,154.6,0.0,stomp,0
3.454,5.141,22.627,1.0,559.51,35.46,2000.0,408.8,3.749,0.002,4.3,0.0,441.2,0.0,hard_kick,0
3.509,5.194,22.627,1.012,595.05,41.26,2000.0,374.4,3.618,0.002,4.528,0.0,402.2,0.0,hard_kick,0
3.501,5.256,22.627,0.995,613.91,41.5,2000.0,389.2,3.669,0.002,4.561,0.0,418.7,0.0,hard_kick,0
2.659,3.233,16.173,1.012,381.63,32.08,1279.0,235.2,1.518,0.002,3.573,0.0,254.5,0.0,soft_kick,0
1.003,0.002,1.008,1.0,0.37,0.11,1.1,0.2,0.002,0.002,0.003,0.0,0.5,0.0,standing,0
3.173,0.651,3.893,0.772,67.96,14.28,461.7,142.6,1.145,0.002,2.309,0.0,319.9,0.0,walking,0
3.46,5.139,22.627,1.004,550.38,34.4,2000.0,418.5,3.754,0.002,4.297,0.0,451.4,0.0,hard_kick,0
10.679,6.118,22.627,1.137,609.02,148.7,2000.0,567.4,5.669,0.002,8.709,0.0,840.0,0.0,repeated_kick,1
10.628,6.235,22.627,1.053,614.31,151.93,2000.0,569.9,5.729,0.002,8.719,0.0,835.5,0.0,repeated_kick,1
1.381,1.497,8.447,0.008,242.62,19.01,357.6,73.7,0.564,0.002,1.696,0.0,85.4,0.0,jumping,0
1.198,0.661,4.984,0.422,98.75,6.92,496.3,84.2,0.472,0.002,0.767,0.0,92.4,0.0,stomp,0
1.01,0.002,1.016,1.003,0.36,0.12,3.5,1.0,0.002,0.002,0.008,0.0,1.5,0.0,sitting,0
1.019,0.002,1.023,1.014,0.4,0.12,1.8,0.4,0.002,0.002,0.006,0.0,1.0,0.0,sitting,0
0.959,0.002,0.965,0.955,0.39,0.12,3.0,0.4,0.002,0.002,0.008,0.0,1.4,0.0,sitting,0
1.189,0.694,5.51,0.399,133.47,7.26,1258.9,145.1,0.468,0.002,0.803,0.0,152.6,0.0,stomp,0
12.077,3.861,16.29,3.583,264.75,96.77,1374.3,423.5,5.351,0.002,7.879,0.0,960.8,0.0,running,0
2.57,3.205,16.035,0.995,546.25,30.02,1277.4,264.6,1.56,0.002,3.475,0.0,287.7,0.0,soft_kick,0
1.804,0.562,2.736,0.876,38.37,21.47,190.8,58.0,0.518,0.002,1.618,0.0,133.4,0.0,shake_leg,0
8.406,6.675,22.627,0.989,604.8,116.71,2000.0,579.7,5.49,0.002,7.673,0.0,758.8,0.0,repeated_kick,1
1.364,1.588,8.939,0.013,243.54,19.68,352.4,72.9,0.644,0.002,1.745,0.0,84.6,0.0,jumping,0
8.375,6.622,22.627,0.98,572.9,108.92,2000.0,565.6,5.533,0.002,7.472,0.0,747.4,0.0,repeated_kick,1
11.494,3.59,16.05,3.5,226.69,96.18,1297.0,401.7,5.128,0.002,7.331,0.0,901.7,0.0,running,0
2.57,3.202,16.036,0.999,543.36,29.98,1303.2,267.2,1.56,0.002,3.471,0.0,289.9,0.0,soft_kick,0
3.298,0.651,4.008,0.97,74.41,14.49,471.2,145.5,1.177,0.002,2.401,0.0,333.7,0.0,walking,0
3.44,5.143,22.627,0.981,552.95,34.69,2000.0,415.8,3.755,0.002,4.297,0.0,448.6,0.0,hard_kick,0
1.024,0.002,1.029,1.018,0.43,0.11,1.1,0.3,0.002,0.002,0.004,0.0,0.7,0.0,standing,0
2.666,3.262,16.215,1.007,448.63,33.75,1200.1,227.1,1.518,0.002,3.604,0.0,248.6,0.0,soft_kick,0
8.403,6.71,22.627,0.961,612.21,115.43,2000.0,578.8,5.524,0.002,7.68,0.0,761.9,0.0,repeated_kick,1
1.364,1.607,9.36,0.023,223.96,21.05,361.4,73.0,0.676,0.002,1.75,0.0,85.4,0.0,jumping,0
10.678,6.188,22.627,1.332,609.74,150.63,2000.0,586.3,5.728,0.002,8.759,0.0,864.7,0.0,repeated_kick,1
10.557,6.2,22.627,1.042,603.35,145.4,2000.0,574.3,5.702,0.002,8.535,0.0,853.9,0.0,repeated_kick,1
0.986,0.002,0.99,0.982,0.37,0.11,2.2,0.3,0.002,0.002,0.005,0.0,1.1,0.0,standing,0
0.988,0.002,0.994,0.983,0.37,0.12,2.4,0.4,0.002,0.002,0.006,0.0,1.1,0.0,sitting,0
1.403,1.599,9.684,0.024,263.09,19.22,352.6,73.2,0.595,0.002,1.792,0.0,85.3,0.0,jumping,0
0.984,0.002,0.989,0.979,0.41,0.12,2.2,0.5,0.002,0.002,0.006,0.0,1.0,0.0,sitting,0
3.456,5.197,22.627,0.981,508.26,38.67,2000.0,415.8,3.718,0.002,4.424,0.0,449.9,0.0,hard_kick,0
2.65,3.26,16.2,0.99,429.91,33.31,1204.3,227.4,1.517,0.002,3.599,0.0,247.7,0.0,soft_kick,0
12.891,3.839,16.933,1.933,292.7,97.95,1427.5,435.5,5.533,0.002,8.182,0.0,1011.8,0.0,running,0
2.581,0.489,3.29,1.148,42.31,9.82,406.1,123.0,0.89,0.002,1.685,0.0,292.1,0.0,walking,0
2.102,0.729,3.279,0.864,56.45,31.04,215.5,68.1,0.634,0.002,1.951,0.0,151.4,0.0,shake_leg,0
1.677,0.468,2.493,0.925,29.81,16.48,176.8,54.1,0.459,0.002,1.427,0.0,123.6,0.0,shake_leg,0
2.475,0.459,3.214,1.383,28.51,8.76,396.8,120.8,0.82,0.002,1.608,0.0,285.7,0.0,walking,0
10.525,6.282,22.627,0.983,574.55,144.5,2000.0,575.8,5.794,0.002,8.595,0.0,879.6,0.0,repeated_kick,1
1.023,0.002,1.028,1.018,0.33,0.1,2.1,0.4,0.002,0.002,0.005,0.0,1.0,0.0,sitting,0
1.197,0.698,5.509,0.388,132.82,7.44,1214.3,138.3,0.469,0.002,0.81,0.0,145.5,0.0,stomp,0
8.396,6.665,22.627,1.015,614.33,108.75,2000.0,590.0,5.533,0.002,7.576,0.0,771.2,0.0,repeated_kick,1
3.17,0.642,3.961,1.38,63.99,14.54,466.9,143.2,1.067,0.002,2.362,0.0,332.5,0.0,walking,0
1.194,0.652,5.117,0.427,101.64,6.79,749.1,106.4,0.469,0.002,0.75,0.0,114.8,0.0,stomp,0
1.008,0.002,1.013,1.0,0.4,0.12,2.5,0.8,0.002,0.002,0.008,0.0,1.5,0.0,sitting,0
